PEAKID,PKNAME,YEAR,HOST,LAT,LON,HEIGHTM,COMRTE,ROUTE_SUCCESS,ROUTE_HIGHPOINT,ROUTE
MAKA,Makalu,1998,1,27.890887,87.08841,8485,False,0,,Makalu La-NW Ridge
MAKA,Makalu,1989,1,27.890887,87.08841,8485,Not Known,0,,NW side
MAKA,Makalu,1999,1,27.890887,87.08841,8485,False,1,,Makalu La-NW Ridge
MAKA,Makalu,1999,1,27.890887,87.08841,8485,False,1,,Makalu La-NW Ridge
MAKA,Makalu,1999,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1999,1,27.890887,87.08841,8485,False,1,,Makalu La-NW Ridge
MAKA,Makalu,1999,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1999,1,27.890887,87.08841,8485,False,0,,Makalu La-NW Ridge
MAKA,Makalu,2000,1,27.890887,87.08841,8485,False,1,,Makalu La-NW Ridge
MAKA,Makalu,2000,1,27.890887,87.08841,8485,False,1,,Makalu La-NW Ridge
